"STATISTIC","Statistic Label","TLIST(M1)","Month","C02803V03373","Type of Residential Property","UNIT","VALUE"
"HPM06C01","Residential Property Price Index","200509","2005 September","15","West - houses","Base Jan 2005 = 100",""
"HPM06C01","Residential Property Price Index","200509","2005 September","16","Mid-East including Louth - houses","Base Jan 2005 = 100",""
"HPM06C01","Residential Property Price Index","200509","2005 September","17","Mid-West including South Tipperary - houses","Base Jan 2005 = 100",""
"HPM06C01","Residential Property Price Index","200509","2005 September","18","South-East excluding South Tipperary - houses","Base Jan 2005 = 100",""
"HPM06C01","Residential Property Price Index","200509","2005 September","19","South-West - houses","Base Jan 2005 = 100",""
"HPM06C01","Residential Property Price Index","200510","2005 October","-","National - all residential properties","Base Jan 2005 = 100","110.6"
"HPM06C01","Residential Property Price Index","200510","2005 October","01","National - houses","Base Jan 2005 = 100","111.1"
"HPM06C01","Residential Property Price Index","200510","2005 October","02","National - apartments","Base Jan 2005 = 100","105.2"
"HPM06C01","Residential Property Price Index","200510","2005 October","05","Dublin - all residential properties","Base Jan 2005 = 100","112.8"
"HPM06C01","Residential Property Price Index","200510","2005 October","06","Dublin - houses","Base Jan 2005 = 100","114"
"HPM06C01","Residential Property Price Index","200510","2005 October","07","Dublin - apartments","Base Jan 2005 = 100","108.4"
"HPM06C01","Residential Property Price Index","200510","2005 October","08","Dublin City - houses","Base Jan 2005 = 100",""
"HPM06C01","Residential Property Price Index","200510","2005 October","09","Dun Laoghaire-Rathdown - houses","Base Jan 2005 = 100",""
"HPM06C01","Residential Property Price Index","200510","2005 October","10","Fingal - houses","Base Jan 2005 = 100",""
"HPM06C01","Residential Property Price Index","200510","2005 October","11","South Dublin - houses","Base Jan 2005 = 100",""
"HPM06C01","Residential Property Price Index","200510","2005 October","03","National excluding Dublin - all residential properties","Base Jan 2005 = 100","109.3"
"HPM06C01","Residential Property Price Index","200510","2005 October","04","National excluding Dublin - houses","Base Jan 2005 = 100","109.7"
"HPM06C01","Residential Property Price Index","200510","2005 October","12","National excluding Dublin - apartments","Base Jan 2005 = 100","102.4"
